zip5,total_shifts,filled,unfilled,cancelled,unmet,city,state,unmet_rate,fill_rate,lat,lng,population,density,county_name,state_name,timezone,census_pop,pop_65plus,pct_65plus,median_income,unemployment_rate,city_label,state_label,score_unmet,score_volume,score_elderly,score_poverty,score_density,demand_pressure_score
02780,95,84,0,11,11,Taunton,MA,0.1157894736842105,0.8842105263157894,41.90743,-71.11939,52530.0,612.3,Bristol,Massachusetts,America/New_York,51915.0,8064.0,0.155330829240104,68948.0,0.0550514870022323,Taunton,MA,0.11578947356842101,0.003476611883690431,0.23660858836578955,0.7699501167344928,0.009750248413972176,19.939525506617795
02790,74,57,0,17,17,Westport,MA,0.2297297297297297,0.7702702702702703,41.59967,-71.08266,16725.0,119.8,Bristol,Massachusetts,America/New_York,16431.0,3829.0,0.2330351165479885,90691.0,0.0310629165254715,Westport,MA,0.22972972949999995,0.005372945638430666,0.35497209559633897,0.6774853390828766,0.0019076919157175675,24.30701444328787
03906,21,14,0,7,7,North Berwick,ME,0.3333333333333333,0.6666666666666666,43.3447,-70.77759,5275.0,53.2,York,Maine,America/New_York,5003.0,1140.0,0.2278632820307815,90785.0,0.0364860077931278,North Berwick,ME,0.33333333299999995,0.0022123893805302743,0.3470940686111983,0.6770855925391956,0.0008471553415373506,27.161946538240528
04005,63,44,0,19,19,Biddeford,ME,0.3015873015873015,0.6984126984126984,43.49591,-70.49537,24698.0,199.0,York,Maine,America/New_York,24590.0,4136.0,0.1681984546563643,65485.0,0.0443860619469026,Biddeford,ME,0.3015873012857142,0.006005056890010745,0.25620927356302686,0.7846769495086061,0.00316887054447242,26.123773880156048
04020,27,24,0,3,3,Cornish,ME,0.1111111111111111,0.8888888888888888,43.76811,-70.81028,1948.0,33.9,York,Maine,America/New_York,1881.0,329.0,0.1749069643806486,66528.0,0.0262664165103189,Cornish,ME,0.11111111099999998,0.0009481668773701175,0.2664280499879406,0.7802414639228712,0.0005398226706412816,20.394618687242545
04038,39,34,1,4,5,Gorham,ME,0.1282051282051282,0.8717948717948718,43.70343,-70.4581,18192.0,138.8,Cumberland,Maine,America/New_York,17999.0,2694.0,0.1496749819434413,103152.0,0.034115994380895,Gorham,ME,0.12820512807692305,0.0015802781289501959,0.2279932861014383,0.624493406308338,0.00221024739483805,17.835030086133663
04055,28,7,0,21,21,Naples,ME,0.75,0.25,43.97065,-70.61444,3949.0,47.9,Cumberland,Maine,America/New_York,3928.0,986.0,0.2510183299389002,66635.0,0.01171875,Naples,ME,0.7499999992499999,0.006637168141590823,0.3823651299058849,0.7797864332827238,0.0007627582868353212,42.017655861266675
04064,36,23,0,13,13,Old Orchard Beach,ME,0.3611111111111111,0.6388888888888888,43.52635,-70.38985,8585.0,494.7,York,Maine,America/New_York,8423.0,2264.0,0.2687878428113499,63160.0,0.0525576730190571,Old Orchard Beach,ME,0.36111111074999996,0.004108723135270509,0.40943264365873444,0.7945642975304986,0.007877589237942243,31.12194462939335
04072,36,28,0,8,8,Saco,ME,0.2222222222222222,0.7777777777777778,43.53898,-70.46236,20636.0,206.5,York,Maine,America/New_York,20446.0,3520.0,0.17216081385112,81326.0,0.0109696532948995,Saco,ME,0.22222222199999997,0.0025284450063203135,0.2622449602342167,0.7173111516527788,0.0032883003388620843,22.767327268022644
04073,148,99,0,49,49,SANFORD,ME,0.3310810810810811,0.668918918918919,43.41301,-70.74237,17385.0,177.8,York,Maine,America/New_York,17389.0,3014.0,0.1733279659554891,70605.0,0.0368483797550666,SANFORD,ME,0.33108108075,0.01548672566371192,0.2640228314602568,0.7629035207464171,0.0028312823256643033,27.071922827750832
04074,60,24,0,36,36,Scarborough,ME,0.6,0.4,43.59103,-70.3683,22527.0,182.6,Cumberland,Maine,America/New_York,22098.0,5059.0,0.2289347452258122,114395.0,0.0215833131996456,Scarborough,ME,0.5999999993999999,0.01137800252844141,0.3487261811499799,0.5766811681104297,0.002907717394073688,33.938268363807815
04092,42,31,0,11,11,Westbrook,ME,0.2619047619047619,0.7380952380952381,43.69542,-70.35389,20484.0,460.1,Cumberland,Maine,America/New_York,20339.0,3617.0,0.177835685136929,81198.0,0.0285826462504907,Westbrook,ME,0.26190476164285714,0.003476611883690431,0.27088924090059546,0.7178554873718336,0.00732661978649126,24.2029414728323
04103,22,8,0,14,14,Portland,ME,0.6363636363636364,0.3636363636363636,43.69392,-70.2909,31705.0,1196.5,Cumberland,Maine,America/New_York,31892.0,5872.0,0.184121409757933,81523.0,0.0452692788435411,Portland,ME,0.6363636357272726,0.004424778761060549,0.2804640074598656,0.7164733849601712,0.019053033198297743,35.74843979642755
