geo_city,geo_state,total_shifts,filled,unfilled,cancelled,unmet,unmet_rate
CHESTERFIELD,MO,35,33,0,2,2,0.05714285714285714
CLAIRTON,PA,12,12,0,0,0,0.0
CLAYSBURG,PA,44,42,0,2,2,0.045454545454545456
CLAYTON,NC,2,2,0,0,0,0.0
CLIFTON HEIGHTS,PA,60,57,0,3,3,0.05
CLIFTON PARK,NY,287,196,3,88,91,0.3170731707317073
CLINTON,CT,26,26,0,0,0,0.0
CLINTON,MD,59,31,0,28,28,0.4745762711864407
COHOES,NY,701,530,0,171,171,0.24393723252496433
COLCHESTER,CT,497,455,0,42,42,0.08450704225352113
COLD SPRING HARBOR,NY,113,96,0,17,17,0.1504424778761062
COLLEGE POINT,NY,3581,3257,7,317,324,0.09047752024574142
COLLEGEPOINT,NY,64,63,0,1,1,0.015625
COLLINGDALE,PA,68,41,10,17,27,0.39705882352941174
COLLINSVILLE,CT,33,32,0,1,1,0.030303030303030304
COLONY,NY,62,47,0,15,15,0.24193548387096775
COLUMBIA,CT,54,52,0,2,2,0.037037037037037035
COMMACK,NY,177,171,0,6,6,0.03389830508474576
COMMODORE,PA,62,62,0,0,0,0.0
CONGERS,NY,659,589,0,70,70,0.1062215477996965
COPIAGUE,NY,251,212,0,39,39,0.1553784860557769
CORAM,NY,298,217,0,81,81,0.27181208053691275
CORAOPOLIS,PA,246,206,0,40,40,0.16260162601626016
CORINTH,NY,48,44,3,1,4,0.08333333333333333
CORNA,NY,2,0,0,2,2,1.0
CORNWALL,NY,247,197,5,45,50,0.20242914979757085
CORNWALL BRIDGE,CT,10,10,0,0,0,0.0
CORONA,NY,11599,10681,39,879,918,0.07914475385809122
CORONA-ELMHURST,NY,17,4,0,13,13,0.7647058823529411
CORTLAND MANOR,NY,36,24,0,12,12,0.3333333333333333
CORTLANDT MANOR,NY,742,630,1,111,112,0.1509433962264151
COTTONWOOD,AZ,1,1,0,0,0,0.0
