geo_city,geo_state,total_shifts,filled,unfilled,cancelled,unmet,unmet_rate
Douglaston,NY,396,335,0,61,61,0.15404040404040403
Downers Grove,IL,4,4,0,0,0,0.0
Downingtown,PA,53,53,0,0,0,0.0
Drexel Hill,PA,114,112,0,2,2,0.017543859649122806
Du Bois,PA,25,10,0,15,15,0.6
DuBois,PA,3,0,0,3,3,1.0
Dudley,MA,45,44,0,1,1,0.022222222222222223
Dudley,PA,2,0,0,2,2,1.0
Dundee,IL,20,20,0,0,0,0.0
Durham,CT,8,5,0,3,3,0.375
Durham,NC,106,97,0,9,9,0.08490566037735849
E Elmhurst,NY,63,63,0,0,0,0.0
E Northport,NY,4,0,4,0,4,1.0
